planet_num,orbit_length,planet_dist,planet_mass,planet_update,planet_name,planet_facility,planet_telescope,planet_instrument
1,326.03,110.62,19.4,2014-05-14,11 Com b,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph
1,516.22,119.47,10.5,2014-05-14,11 UMi b,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph
1,185.84,76.39,4.8,2014-05-14,14 And b,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph
1,1773.4,18.15,4.64,2014-05-14,14 Her b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,798.5,21.41,1.68,2015-09-10,16 Cyg B b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,993.3,73.1,10.3,2014-05-14,18 Del b,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph
1,,145,8,2015-04-01,1RXS J160929.1-210524 b,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera
2,452.8,74.79,1.99,2014-05-14,24 Sex b,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph
2,883,74.79,0.86,2014-05-14,24 Sex c,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph
1,,36,24.5,2014-05-14,2MASS J01225093-2439505 b,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera
1,,39.4,13.9,2015-05-14,2MASS J02192210-3925225 b,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,SIMON Near-Infrared Spectroimager
1,,140,7.5,2014-05-14,2MASS J04414489+2301513 b,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFPC2 Camera
1,,52.4,4,2014-05-14,2MASS J12073346-3932539 b,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera
1,416,,1.9,2015-06-04,2MASS J19383260+4603591 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,7336.5,25,20.95,2014-05-14,2MASS J21402931+1625183 A b,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera
1,,74,12.5,2016-11-10,2MASS J22362452+4751425 b,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera
1,335.1,39.43,9.88,2014-05-14,30 Ari B b,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph
1,269.3,77.4,7.1,2014-05-14,4 UMa b,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph
1,479.1,97.28,3.88,2014-05-14,42 Dra b,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph
3,1078,14.08,2.53,2014-05-14,47 UMa b,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph
3,2391,14.08,0.54,2014-05-14,47 UMa c,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph
3,14002,14.08,1.64,2014-05-14,47 UMa d,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph
1,,29.4,2,2015-08-14,51 Eri b,Gemini Observatory,8.19 m Gemini South Telescope,Gemini Planet Imager
1,4.230785,15.36,0.472,2014-05-14,51 Peg b,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph
5,14.65152,12.53,0.8306,2014-10-29,55 Cnc b,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph
5,44.4175,12.53,0.1714,2014-10-29,55 Cnc c,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
5,4825,12.53,3.878,2014-10-29,55 Cnc d,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph
5,0.736539,12.53,0.02542,2016-07-07,55 Cnc e,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
5,262,12.53,0.141,2014-10-29,55 Cnc f,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,874.774,56.95,2.21,2015-09-03,6 Lyn b,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph
3,4.215,8.52,0.016,2014-05-14,61 Vir b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
3,38.021,8.52,0.057,2014-05-14,61 Vir c,Multiple Observatories,Multiple Telescopes,Multiple Instruments
3,123.01,8.52,0.072,2014-05-14,61 Vir d,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,796,19.84,2.46,2015-10-22,7 CMa b,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph
1,116.6926,18.11,7.4,2015-04-24,70 Vir b,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph
1,691.9,81.5,3,2015-09-03,75 Cet b,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph
1,93.4,159.1,1.5,2015-10-15,8 UMi b,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph
1,952.7,97.18,5.3,2014-05-14,81 Cet b,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph
1,181.4,45.52,3.2,2014-05-14,91 Aqr b,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph
1,,45.52,13.5,2014-05-14,AB Pic b,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera
1,268.94,50.03,1.47,2014-05-14,BD+14 4559 b,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
1,153.22,774,1.061,2016-02-04,BD+15 2375 b,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph
1,137.48,175.44,1.11,2014-05-14,BD+15 2940 b,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
1,7.78287,25.4,6.37,2015-03-26,BD+20 1790 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
2,379.63,,21.42,2014-05-14,BD+20 2457 b,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
2,621.99,,12.47,2014-05-14,BD+20 2457 c,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
1,578.2,,4.2,2015-09-18,BD+20 274 b,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
1,41.6855,152.1,0.05129,2016-07-28,BD+20 594 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,392.6,,0.91,2015-08-13,BD+48 738 b,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
1,2590,,1.6,2015-02-05,BD+49 828 b,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
2,3.8728,20.1,0.027,2014-05-14,BD-06 1339 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
2,125.94,20.1,0.17,2014-05-14,BD-06 1339 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
2,5.6,42.09,0.045,2014-05-14,BD-08 2823 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
2,237.6,42.09,0.33,2014-05-14,BD-08 2823 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,3.48777,80,0.458,2014-08-27,BD-10 3166 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,1667,27.3,0.53,2015-01-08,BD-11 4672 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,714.3,766,10.6,2015-05-14,BD-13 2130 b,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph
1,655.6,37.54,5.1,2014-05-14,BD-17 63 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,10037.5,23.1,10.5,2014-05-14,CFBDSIR J145829+101343 b,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera
